Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,4818100,4913138,5001917,5054839,4976157,5031195
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,482.2,491.7,500.6,505.9,498,503.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2380560,2428985,2474424,2500016,2460595,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2437540,2484153,2527493,2554823,2515562,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.9,35,35,35.4,36,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.5,36.5,36.7,37.1,37.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.7,35.7,35.9,36.3,36.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3269467,3330952,3388920,3412779,3333674,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.9,67.8,67.8,67.5,67,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,161532,161382,160578,158068,153887,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,154474,157861,160512,161757,160659,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,140154,144957,149329,153298,153627,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,144272,145891,148185,146934,143297,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,190017,193943,196157,190809,174977,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,203800,207478,212125,211250,199830,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,200407,204987,208715,210686,205184,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,177307,185792,193434,199771,200285,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,161673,162414,164206,167327,169046,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,158824,161614,163111,163120,159140,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,142144,143286,145364,148828,150938,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,132201,135072,137191,138857,136755,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,111847,114260,117778,121228,120890,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,96966,97202,98047,100568,100303,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,77839,82279,84878,87615,87405,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,55144,56521,58554,60965,63109,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,37615,38962,40151,41822,43002,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,34344,35084,36109,37113,38261,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.8,6.6,6.5,6.3,6.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.5,6.5,6.5,6.5,6.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.9,6,6,6.1,6.2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.1,6,6,5.9,5.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8,8,7.9,7.6,7.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.6,8.5,8.6,8.4,8.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.4,8.4,8.4,8.4,8.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.4,7.6,7.8,8,8.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.8,6.7,6.6,6.7,6.9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.7,6.7,6.6,6.5,6.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6,5.9,5.9,6,6.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.6,5.6,5.5,5.6,5.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.7,4.7,4.8,4.8,4.9,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.1,4,4,4,4.1,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.3,3.4,3.4,3.5,3.6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.3,2.3,2.4,2.4,2.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.6,1.6,1.6,1.7,1.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.4,1.4,1.5,1.5,1.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,152785,152231,151844,149348,146140,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,146434,149928,152459,153518,152211,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,132598,137007,141286,145617,145995,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,139254,140237,141417,139378,136035,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,182793,184472,183850,177924,163476,
