Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,5116610,5184555,5248704,5284879,5259764,5297089
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,413.7,419.2,424.4,427.3,425.2,428.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2541496,2577332,2610428,2627297,2614408,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2575114,2607223,2638276,2657582,2645356,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.2,35.3,35.5,35.9,36.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.7,36.8,37,37.4,37.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.9,36.1,36.2,36.7,37.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3456813,3497279,3531971,3539615,3501913,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.6,67.5,67.3,67,66.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,171454,169801,169114,166739,164066,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,168769,170463,171805,171939,170794,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,153281,157499,161511,165530,167512,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,154668,156067,156981,155325,153724,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,191285,193663,195904,191500,182334,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,213122,215437,216162,212187,203133,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,210577,212061,213462,213886,211124,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,191441,197905,203516,207516,208780,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,174881,174981,175572,177657,180756,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,166206,170587,173270,174391,171605,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,153901,152947,153043,154793,157800,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,144966,147918,150475,151937,150316,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,122798,125177,127743,130931,132604,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,106322,106451,107438,109263,109351,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,84755,89681,92313,95540,96200,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,57814,59712,62839,65673,68487,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,39032,40195,41648,43724,45384,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,36224,36787,37632,38766,40438,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.7,6.6,6.5,6.3,6.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.6,6.6,6.6,6.5,6.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6,6.1,6.2,6.3,6.4,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.1,6.1,6,5.9,5.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.5,7.5,7.5,7.3,7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.4,8.4,8.3,8.1,7.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.3,8.2,8.2,8.1,8.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.5,7.7,7.8,7.9,8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.9,6.8,6.7,6.8,6.9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.5,6.6,6.6,6.6,6.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.1,5.9,5.9,5.9,6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.7,5.7,5.8,5.8,5.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.8,4.9,4.9,5,5.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.2,4.1,4.1,4.2,4.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.3,3.5,3.5,3.6,3.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.3,2.3,2.4,2.5,2.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.5,1.6,1.6,1.7,1.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.4,1.4,1.4,1.5,1.5,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,162358,160934,159584,157486,154751,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,159505,161047,162488,162469,161444,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,143277,147508,152010,156233,158318,
